qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category,query_type,time_series_aggregation_method,filter_predicate,filter_value
0,2m_temperature,2021-01-01 00:00:00,2021-12-31 23:00:00,44,64,-4,46,1.0,hour,min,1.0,100,changing_time,heatmap,,,
1,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,44,64,-4,46,1.0,hour,max,1.0,100,changing_time,heatmap,,,
2,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,44,64,-4,46,1.0,hour,mean,1.0,100,changing_time,heatmap,,,
3,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,44,64,-4,46,1.0,hour,min,2.5,100,changing_time,heatmap,,,
4,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,44,64,-4,46,1.0,hour,max,2.5,100,changing_time,heatmap,,,
5,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,44,64,-4,46,1.0,hour,mean,2.5,100,changing_time,heatmap,,,
6,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,1.0,hour,min,5.0,100,changing_time,heatmap,,,
7,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,1.0,hour,max,5.0,100,changing_time,heatmap,,,
8,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,1.0,hour,mean,5.0,100,changing_time,heatmap,,,
9,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,44,64,-4,46,1.0,hour,min,10.0,100,changing_time,heatmap,,,
10,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,44,64,-4,46,1.0,hour,max,10.0,100,changing_time,heatmap,,,
11,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,44,64,-4,46,1.0,hour,mean,10.0,100,changing_time,heatmap,,,
12,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,1.0,100,changing_time,find_time,min,>,310.0
13,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,1.0,100,changing_time,find_time,min,<,310.0
14,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,1.0,100,changing_time,find_time,max,>,310.0
15,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,1.0,100,changing_time,find_time,max,<,310.0
16,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,1.0,100,changing_time,find_time,mean,>,310.0
17,2m_temperature,2017-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,1.0,100,changing_time,find_time,mean,<,310.0
18,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,60,-70,-10,1.0,hour,min,2.5,100,changing_time,find_time,min,>,310.0
19,2m_temperature,2018-01-01 00:00:00,2020-06-30 23:00:00,60,60,-70,-10,1.0,hour,min,2.5,100,changing_time,find_time,min,<,310.0
20,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,60,-70,-10,1.0,hour,max,2.5,100,changing_time,find_time,max,>,310.0
21,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,60,-70,-10,1.0,hour,max,2.5,100,changing_time,find_time,max,<,310.0
22,2m_temperature,2015-01-01 00:00:00,2017-06-30 23:00:00,60,60,-70,-10,1.0,hour,mean,2.5,100,changing_time,find_time,mean,>,310.0
23,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,60,60,-70,-10,1.0,hour,mean,2.5,100,changing_time,find_time,mean,<,310.0
24,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,5.0,100,changing_value,find_time,min,>,205.0
25,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,5.0,100,changing_value,find_time,min,>,240.0
26,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,5.0,100,changing_value,find_time,min,>,275.0
27,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,5.0,100,changing_value,find_time,min,<,205.0
28,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,5.0,100,changing_value,find_time,min,<,240.0
29,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,5.0,100,changing_value,find_time,min,<,275.0
30,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,5.0,100,changing_value,find_time,max,>,205.0
31,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,5.0,100,changing_value,find_time,max,>,240.0
32,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,5.0,100,changing_value,find_time,max,>,275.0
33,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,5.0,100,changing_value,find_time,max,<,205.0
34,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,5.0,100,changing_value,find_time,max,<,240.0
35,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,5.0,100,changing_value,find_time,max,<,275.0
36,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,5.0,100,changing_value,find_time,mean,>,205.0
37,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,5.0,100,changing_value,find_time,mean,>,240.0
38,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,5.0,100,changing_value,find_time,mean,>,275.0
39,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,5.0,100,changing_value,find_time,mean,<,205.0
40,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,5.0,100,changing_value,find_time,mean,<,240.0
41,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,5.0,100,changing_value,find_time,mean,<,275.0
42,2m_temperature,2010-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,10.0,100,changing_time,find_time,min,>,310.0
43,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,60,-70,-10,1.0,hour,min,10.0,100,changing_time,find_time,min,<,310.0
44,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,10.0,100,changing_time,find_time,max,>,310.0
45,2m_temperature,2010-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,1.0,hour,max,10.0,100,changing_time,find_time,max,<,310.0
46,2m_temperature,2011-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,10.0,100,changing_time,find_time,mean,>,310.0
47,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,60,60,-70,-10,1.0,hour,mean,10.0,100,changing_time,find_time,mean,<,310.0
48,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,44,64,-4,46,0.25,year,min,1.0,100,changing_time,heatmap,,,
49,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,0.25,year,max,1.0,100,changing_time,heatmap,,,
50,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,44,64,-4,46,0.25,year,mean,1.0,100,changing_time,heatmap,,,
51,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,44,64,-4,46,0.25,year,min,2.5,100,changing_time,heatmap,,,
52,2m_temperature,2018-01-01 00:00:00,2020-06-30 23:00:00,44,64,-4,46,0.25,year,max,2.5,100,changing_time,heatmap,,,
53,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,44,64,-4,46,0.25,year,mean,2.5,100,changing_time,heatmap,,,
54,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,44,64,-4,46,0.25,year,min,5.0,100,changing_time,heatmap,,,
55,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,0.25,year,max,5.0,100,changing_time,heatmap,,,
56,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,44,64,-4,46,0.25,year,mean,5.0,100,changing_time,heatmap,,,
57,2m_temperature,2006-01-01 00:00:00,2015-12-31 23:00:00,44,64,-4,46,0.25,year,min,10.0,100,changing_time,heatmap,,,
58,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,44,64,-4,46,0.25,year,max,10.0,100,changing_time,heatmap,,,
59,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,44,64,-4,46,0.25,year,mean,10.0,100,changing_time,heatmap,,,
60,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,min,1.0,100,changing_time,find_time,min,>,310.0
61,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,60,60,-70,-10,0.25,year,min,1.0,100,changing_time,find_time,min,<,310.0
62,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,0.25,year,max,1.0,100,changing_time,find_time,max,>,310.0
63,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,60,60,-70,-10,0.25,year,max,1.0,100,changing_time,find_time,max,<,310.0
64,2m_temperature,2022-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,1.0,100,changing_time,find_time,mean,>,310.0
65,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,1.0,100,changing_time,find_time,mean,<,310.0
66,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,60,-70,-10,0.25,year,min,2.5,100,changing_time,find_time,min,>,310.0
67,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,60,60,-70,-10,0.25,year,min,2.5,100,changing_time,find_time,min,<,310.0
68,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,60,60,-70,-10,0.25,year,max,2.5,100,changing_time,find_time,max,>,310.0
69,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,60,60,-70,-10,0.25,year,max,2.5,100,changing_time,find_time,max,<,310.0
70,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,60,60,-70,-10,0.25,year,mean,2.5,100,changing_time,find_time,mean,>,310.0
71,2m_temperature,2020-01-01 00:00:00,2022-06-30 23:00:00,60,60,-70,-10,0.25,year,mean,2.5,100,changing_time,find_time,mean,<,310.0
72,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,min,5.0,100,changing_value,find_time,min,>,205.0
73,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,0.25,year,min,5.0,100,changing_value,find_time,min,>,240.0
74,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,0.25,year,min,5.0,100,changing_value,find_time,min,>,275.0
75,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,min,5.0,100,changing_value,find_time,min,<,205.0
76,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,min,5.0,100,changing_value,find_time,min,<,240.0
77,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,0.25,year,min,5.0,100,changing_value,find_time,min,<,275.0
78,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,0.25,year,max,5.0,100,changing_value,find_time,max,>,205.0
79,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,0.25,year,max,5.0,100,changing_value,find_time,max,>,240.0
80,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,max,5.0,100,changing_value,find_time,max,>,275.0
81,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,max,5.0,100,changing_value,find_time,max,<,205.0
82,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,0.25,year,max,5.0,100,changing_value,find_time,max,<,240.0
83,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,max,5.0,100,changing_value,find_time,max,<,275.0
84,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,5.0,100,changing_value,find_time,mean,>,205.0
85,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,5.0,100,changing_value,find_time,mean,>,240.0
86,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,5.0,100,changing_value,find_time,mean,>,275.0
87,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,5.0,100,changing_value,find_time,mean,<,205.0
88,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,5.0,100,changing_value,find_time,mean,<,240.0
89,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,5.0,100,changing_value,find_time,mean,<,275.0
90,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,60,-70,-10,0.25,year,min,10.0,100,changing_time,find_time,min,>,310.0
91,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,min,10.0,100,changing_time,find_time,min,<,310.0
92,2m_temperature,2005-01-01 00:00:00,2014-12-31 23:00:00,60,60,-70,-10,0.25,year,max,10.0,100,changing_time,find_time,max,>,310.0
93,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,0.25,year,max,10.0,100,changing_time,find_time,max,<,310.0
94,2m_temperature,2004-01-01 00:00:00,2013-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,10.0,100,changing_time,find_time,mean,>,310.0
95,2m_temperature,2008-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,0.25,year,mean,10.0,100,changing_time,find_time,mean,<,310.0
96,2m_temperature,2020-01-01 00:00:00,2020-12-31 23:00:00,44,64,-4,46,1.0,year,min,1.0,100,changing_time,heatmap,,,
97,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,44,64,-4,46,1.0,year,max,1.0,100,changing_time,heatmap,,,
98,2m_temperature,2019-01-01 00:00:00,2019-12-31 23:00:00,44,64,-4,46,1.0,year,mean,1.0,100,changing_time,heatmap,,,
99,2m_temperature,2017-01-01 00:00:00,2019-06-30 23:00:00,44,64,-4,46,1.0,year,min,2.5,100,changing_time,heatmap,,,
100,2m_temperature,2014-01-01 00:00:00,2016-06-30 23:00:00,44,64,-4,46,1.0,year,max,2.5,100,changing_time,heatmap,,,
101,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,44,64,-4,46,1.0,year,mean,2.5,100,changing_time,heatmap,,,
102,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,44,64,-4,46,1.0,year,min,5.0,100,changing_time,heatmap,,,
103,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,44,64,-4,46,1.0,year,max,5.0,100,changing_time,heatmap,,,
104,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,44,64,-4,46,1.0,year,mean,5.0,100,changing_time,heatmap,,,
105,2m_temperature,2011-01-01 00:00:00,2020-12-31 23:00:00,44,64,-4,46,1.0,year,min,10.0,100,changing_time,heatmap,,,
106,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,44,64,-4,46,1.0,year,max,10.0,100,changing_time,heatmap,,,
107,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,44,64,-4,46,1.0,year,mean,10.0,100,changing_time,heatmap,,,
108,2m_temperature,2022-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,year,min,1.0,100,changing_time,find_time,min,>,310.0
109,2m_temperature,2016-01-01 00:00:00,2016-12-31 23:00:00,60,60,-70,-10,1.0,year,min,1.0,100,changing_time,find_time,min,<,310.0
110,2m_temperature,2015-01-01 00:00:00,2015-12-31 23:00:00,60,60,-70,-10,1.0,year,max,1.0,100,changing_time,find_time,max,>,310.0
111,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,60,60,-70,-10,1.0,year,max,1.0,100,changing_time,find_time,max,<,310.0
112,2m_temperature,2014-01-01 00:00:00,2014-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,1.0,100,changing_time,find_time,mean,>,310.0
113,2m_temperature,2018-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,1.0,100,changing_time,find_time,mean,<,310.0
114,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,60,60,-70,-10,1.0,year,min,2.5,100,changing_time,find_time,min,>,310.0
115,2m_temperature,2020-01-01 00:00:00,2022-06-30 23:00:00,60,60,-70,-10,1.0,year,min,2.5,100,changing_time,find_time,min,<,310.0
116,2m_temperature,2016-01-01 00:00:00,2018-06-30 23:00:00,60,60,-70,-10,1.0,year,max,2.5,100,changing_time,find_time,max,>,310.0
117,2m_temperature,2019-01-01 00:00:00,2021-06-30 23:00:00,60,60,-70,-10,1.0,year,max,2.5,100,changing_time,find_time,max,<,310.0
118,2m_temperature,2021-01-01 00:00:00,2023-06-30 23:00:00,60,60,-70,-10,1.0,year,mean,2.5,100,changing_time,find_time,mean,>,310.0
119,2m_temperature,2018-01-01 00:00:00,2020-06-30 23:00:00,60,60,-70,-10,1.0,year,mean,2.5,100,changing_time,find_time,mean,<,310.0
120,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,1.0,year,min,5.0,100,changing_value,find_time,min,>,205.0
121,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,min,5.0,100,changing_value,find_time,min,>,240.0
122,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,1.0,year,min,5.0,100,changing_value,find_time,min,>,275.0
123,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,year,min,5.0,100,changing_value,find_time,min,<,205.0
124,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,min,5.0,100,changing_value,find_time,min,<,240.0
125,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,year,min,5.0,100,changing_value,find_time,min,<,275.0
126,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,max,5.0,100,changing_value,find_time,max,>,205.0
127,2m_temperature,2018-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,year,max,5.0,100,changing_value,find_time,max,>,240.0
128,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,max,5.0,100,changing_value,find_time,max,>,275.0
129,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,year,max,5.0,100,changing_value,find_time,max,<,205.0
130,2m_temperature,2016-01-01 00:00:00,2020-12-31 23:00:00,60,60,-70,-10,1.0,year,max,5.0,100,changing_value,find_time,max,<,240.0
131,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,max,5.0,100,changing_value,find_time,max,<,275.0
132,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,5.0,100,changing_value,find_time,mean,>,205.0
133,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,5.0,100,changing_value,find_time,mean,>,240.0
134,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,5.0,100,changing_value,find_time,mean,>,275.0
135,2m_temperature,2017-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,5.0,100,changing_value,find_time,mean,<,205.0
136,2m_temperature,2014-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,5.0,100,changing_value,find_time,mean,<,240.0
137,2m_temperature,2015-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,5.0,100,changing_value,find_time,mean,<,275.0
138,2m_temperature,2009-01-01 00:00:00,2018-12-31 23:00:00,60,60,-70,-10,1.0,year,min,10.0,100,changing_time,find_time,min,>,310.0
139,2m_temperature,2008-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,1.0,year,min,10.0,100,changing_time,find_time,min,<,310.0
140,2m_temperature,2008-01-01 00:00:00,2017-12-31 23:00:00,60,60,-70,-10,1.0,year,max,10.0,100,changing_time,find_time,max,>,310.0
141,2m_temperature,2013-01-01 00:00:00,2022-12-31 23:00:00,60,60,-70,-10,1.0,year,max,10.0,100,changing_time,find_time,max,<,310.0
142,2m_temperature,2010-01-01 00:00:00,2019-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,10.0,100,changing_time,find_time,mean,>,310.0
143,2m_temperature,2012-01-01 00:00:00,2021-12-31 23:00:00,60,60,-70,-10,1.0,year,mean,10.0,100,changing_time,find_time,mean,<,310.0
