variable,max_lat,min_lat,max_lon,min_lon,start_datetime,end_datetime,temporal_resolution,spatial_resolution,aggregation,file_path
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,0.25,max,/data/era5/agg/2m_temperature/2m_temperature-day-max.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,0.5,max,/data/era5/agg/2m_temperature/2m_temperature-day-max.nc__max.nc_1738893725814.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,1.0,max,/data/era5/agg/2m_temperature/2m_temperature-day-max.nc__max.nc_1738894044079.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,0.25,mean,/data/era5/agg/2m_temperature/2m_temperature-day-mean.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,0.5,mean,/data/era5/agg/2m_temperature/2m_temperature-day-mean.nc__mean.nc_1738894577464.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,1.0,mean,/data/era5/agg/2m_temperature/2m_temperature-day-mean.nc__mean.nc_1738894902284.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,0.25,min,/data/era5/agg/2m_temperature/2m_temperature-day-min.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,0.5,min,/data/era5/agg/2m_temperature/2m_temperature-day-min.nc__min.nc_1738895464234.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,day,1.0,min,/data/era5/agg/2m_temperature/2m_temperature-day-min.nc__min.nc_1738895780359.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,0.25,max,/data/era5/agg/2m_temperature/2m_temperature-month-max.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,0.5,max,/data/era5/agg/2m_temperature/2m_temperature-month-max.nc__max.nc_1738896101143.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,1.0,max,/data/era5/agg/2m_temperature/2m_temperature-month-max.nc__max.nc_1738896110345.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,0.25,mean,/data/era5/agg/2m_temperature/2m_temperature-month-mean.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,0.5,mean,/data/era5/agg/2m_temperature/2m_temperature-month-mean.nc__mean.nc_1738896124382.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,1.0,mean,/data/era5/agg/2m_temperature/2m_temperature-month-mean.nc__mean.nc_1738896134802.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,0.25,min,/data/era5/agg/2m_temperature/2m_temperature-month-min.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,0.5,min,/data/era5/agg/2m_temperature/2m_temperature-month-min.nc__min.nc_1738896148965.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,month,1.0,min,/data/era5/agg/2m_temperature/2m_temperature-month-min.nc__min.nc_1738896157870.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,0.25,max,/data/era5/agg/2m_temperature/2m_temperature-year-max.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,0.5,max,/data/era5/agg/2m_temperature/2m_temperature-year-max.nc__max.nc_1738896165201.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,1.0,max,/data/era5/agg/2m_temperature/2m_temperature-year-max.nc__max.nc_1738896169684.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,0.25,mean,/data/era5/agg/2m_temperature/2m_temperature-year-mean.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,0.5,mean,/data/era5/agg/2m_temperature/2m_temperature-year-mean.nc__mean.nc_1738896173708.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,1.0,mean,/data/era5/agg/2m_temperature/2m_temperature-year-mean.nc__mean.nc_1738896178464.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,0.25,min,/data/era5/agg/2m_temperature/2m_temperature-year-min.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,0.5,min,/data/era5/agg/2m_temperature/2m_temperature-year-min.nc__min.nc_1738896182235.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,2023-12-31T23:00,year,1.0,min,/data/era5/agg/2m_temperature/2m_temperature-year-min.nc__min.nc_1738896186679.nc
2m_temperature,90,-90,180,-180,1984-01-01T00:00,1984-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1984.nc
2m_temperature,90,-90,180,-180,1985-01-01T00:00,1985-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1985.nc
2m_temperature,90,-90,180,-180,1986-01-01T00:00,1986-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1986.nc
2m_temperature,90,-90,180,-180,1987-01-01T00:00,1987-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1987.nc
2m_temperature,90,-90,180,-180,1988-01-01T00:00,1988-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1988.nc
2m_temperature,90,-90,180,-180,1989-01-01T00:00,1989-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1989.nc
2m_temperature,90,-90,180,-180,1990-01-01T00:00,1990-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1990.nc
2m_temperature,90,-90,180,-180,1991-01-01T00:00,1991-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1991.nc
2m_temperature,90,-90,180,-180,1992-01-01T00:00,1992-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1992.nc
2m_temperature,90,-90,180,-180,1993-01-01T00:00,1993-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1993.nc
2m_temperature,90,-90,180,-180,1994-01-01T00:00,1994-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1994.nc
2m_temperature,90,-90,180,-180,1995-01-01T00:00,1995-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1995.nc
2m_temperature,90,-90,180,-180,1996-01-01T00:00,1996-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1996.nc
2m_temperature,90,-90,180,-180,1997-01-01T00:00,1997-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1997.nc
2m_temperature,90,-90,180,-180,1998-01-01T00:00,1998-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1998.nc
2m_temperature,90,-90,180,-180,1999-01-01T00:00,1999-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-1999.nc
2m_temperature,90,-90,180,-180,2000-01-01T00:00,2000-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2000.nc
2m_temperature,90,-90,180,-180,2001-01-01T00:00,2001-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2001.nc
2m_temperature,90,-90,180,-180,2002-01-01T00:00,2002-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2002.nc
2m_temperature,90,-90,180,-180,2003-01-01T00:00,2003-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2003.nc
2m_temperature,90,-90,180,-180,2004-01-01T00:00,2004-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2004.nc
2m_temperature,90,-90,180,-180,2005-01-01T00:00,2005-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2005.nc
2m_temperature,90,-90,180,-180,2006-01-01T00:00,2006-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2006.nc
2m_temperature,90,-90,180,-180,2007-01-01T00:00,2007-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2007.nc
2m_temperature,90,-90,180,-180,2008-01-01T00:00,2008-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2008.nc
2m_temperature,90,-90,180,-180,2009-01-01T00:00,2009-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2009.nc
2m_temperature,90,-90,180,-180,2010-01-01T00:00,2010-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2010.nc
2m_temperature,90,-90,180,-180,2011-01-01T00:00,2011-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2011.nc
2m_temperature,90,-90,180,-180,2012-01-01T00:00,2012-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2012.nc
2m_temperature,90,-90,180,-180,2013-01-01T00:00,2013-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2013.nc
2m_temperature,90,-90,180,-180,2014-01-01T00:00,2014-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2014.nc
2m_temperature,90,-90,180,-180,2015-01-01T00:00,2015-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2015.nc
2m_temperature,90,-90,180,-180,2016-01-01T00:00,2016-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2016.nc
2m_temperature,90,-90,180,-180,2017-01-01T00:00,2017-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2017.nc
2m_temperature,90,-90,180,-180,2018-01-01T00:00,2018-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2018.nc
2m_temperature,90,-90,180,-180,2019-01-01T00:00,2019-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2019.nc
2m_temperature,90,-90,180,-180,2020-01-01T00:00,2020-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2020.nc
2m_temperature,90,-90,180,-180,2021-01-01T00:00,2021-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2021.nc
2m_temperature,90,-90,180,-180,2022-01-01T00:00,2022-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2022.nc
2m_temperature,90,-90,180,-180,2023-01-01T00:00,2023-12-31T23:00,hour,0.25,none,/data/era5/raw/2m_temperature/2m_temperature-2023.nc
