qid,variable,start_time,end_time,min_lat,max_lat,min_lon,max_lon,spatial_resolution,temporal_resolution,aggregation,time_span,area_persent,category
0,2m_temperature,2007-01-01 00:00:00,2017-12-31 23:00:00,-1,2,-138,-133,0.25,day,mean,10,1,changing_area
1,2m_temperature,2008-01-01 00:00:00,2018-12-31 23:00:00,-76,-73,174,179,0.25,day,mean,10,1,changing_area
2,2m_temperature,2011-01-01 00:00:00,2021-12-31 23:00:00,-63,-60,64,69,0.25,day,mean,10,1,changing_area
3,2m_temperature,1998-01-01 00:00:00,2008-12-31 23:00:00,-90,-75,-69,-44,0.25,day,mean,10,25,changing_area
4,2m_temperature,2012-01-01 00:00:00,2022-12-31 23:00:00,-16,-1,-147,-122,0.25,day,mean,10,25,changing_area
5,2m_temperature,1994-01-01 00:00:00,2004-12-31 23:00:00,69,84,-165,-140,0.25,day,mean,10,25,changing_area
6,2m_temperature,2002-01-01 00:00:00,2012-12-31 23:00:00,-45,-20,-40,-10,0.25,day,mean,10,50,changing_area
7,2m_temperature,2008-01-01 00:00:00,2018-12-31 23:00:00,-87,-62,-66,-36,0.25,day,mean,10,50,changing_area
8,2m_temperature,2006-01-01 00:00:00,2016-12-31 23:00:00,-64,-39,39,69,0.25,day,mean,10,50,changing_area
9,2m_temperature,2003-01-01 00:00:00,2013-12-31 23:00:00,-20,5,-104,-44,0.25,day,mean,10,100,changing_area
10,2m_temperature,2009-01-01 00:00:00,2019-12-31 23:00:00,15,40,78,138,0.25,day,mean,10,100,changing_area
11,2m_temperature,1999-01-01 00:00:00,2009-12-31 23:00:00,26,51,-55,5,0.25,day,mean,10,100,changing_area
12,2m_temperature,2015-01-01 00:00:00,2016-12-31 23:00:00,21,46,-44,16,0.25,day,mean,1,100,changing_time
13,2m_temperature,2017-01-01 00:00:00,2018-12-31 23:00:00,10,35,-65,-5,0.25,day,mean,1,100,changing_time
14,2m_temperature,2001-01-01 00:00:00,2002-12-31 23:00:00,-84,-59,-127,-67,0.25,day,mean,1,100,changing_time
15,2m_temperature,2017-01-01 00:00:00,2022-12-31 23:00:00,-10,15,-110,-50,0.25,day,mean,5,100,changing_time
16,2m_temperature,2017-01-01 00:00:00,2022-12-31 23:00:00,15,40,-45,15,0.25,day,mean,5,100,changing_time
17,2m_temperature,2005-01-01 00:00:00,2010-12-31 23:00:00,-5,20,78,138,0.25,day,mean,5,100,changing_time
18,2m_temperature,2006-01-01 00:00:00,2016-12-31 23:00:00,1,26,15,75,0.25,day,mean,10,100,changing_time
19,2m_temperature,2001-01-01 00:00:00,2011-12-31 23:00:00,-33,-8,-78,-18,0.25,day,mean,10,100,changing_time
20,2m_temperature,2001-01-01 00:00:00,2011-12-31 23:00:00,-35,-10,29,89,0.25,day,mean,10,100,changing_time
21,2m_temperature,1995-01-01 00:00:00,2015-12-31 23:00:00,-65,-40,-128,-68,0.25,day,mean,20,100,changing_time
22,2m_temperature,1998-01-01 00:00:00,2018-12-31 23:00:00,-55,-30,-132,-72,0.25,day,mean,20,100,changing_time
23,2m_temperature,1999-01-01 00:00:00,2019-12-31 23:00:00,-32,-7,-94,-34,0.25,day,mean,20,100,changing_time
24,2m_temperature,2012-01-01 00:00:00,2022-12-31 23:00:00,59,84,-87,-27,0.25,day,mean,10,100,changing_spatial_res
25,2m_temperature,1999-01-01 00:00:00,2009-12-31 23:00:00,-51,-26,116,176,0.25,day,mean,10,100,changing_spatial_res
26,2m_temperature,2010-01-01 00:00:00,2020-12-31 23:00:00,42,67,-141,-81,0.25,day,mean,10,100,changing_spatial_res
27,2m_temperature,2006-01-01 00:00:00,2016-12-31 23:00:00,-30,-5,-123,-63,0.5,day,mean,10,100,changing_spatial_res
28,2m_temperature,2007-01-01 00:00:00,2017-12-31 23:00:00,59,84,-83,-23,0.5,day,mean,10,100,changing_spatial_res
29,2m_temperature,1998-01-01 00:00:00,2008-12-31 23:00:00,-71,-46,-67,-7,0.5,day,mean,10,100,changing_spatial_res
30,2m_temperature,1998-01-01 00:00:00,2008-12-31 23:00:00,32,57,37,97,1.0,day,mean,10,100,changing_spatial_res
31,2m_temperature,2009-01-01 00:00:00,2019-12-31 23:00:00,41,66,-144,-84,1.0,day,mean,10,100,changing_spatial_res
32,2m_temperature,2000-01-01 00:00:00,2010-12-31 23:00:00,24,49,-61,-1,1.0,day,mean,10,100,changing_spatial_res
33,2m_temperature,2002-01-01 00:00:00,2012-12-31 23:00:00,61,86,35,95,0.25,hour,mean,10,100,changing_temporal_res
34,2m_temperature,1998-01-01 00:00:00,2008-12-31 23:00:00,9,34,-167,-107,0.25,hour,mean,10,100,changing_temporal_res
35,2m_temperature,1996-01-01 00:00:00,2006-12-31 23:00:00,56,81,54,114,0.25,hour,mean,10,100,changing_temporal_res
36,2m_temperature,2008-01-01 00:00:00,2018-12-31 23:00:00,-27,-2,-171,-111,0.25,day,mean,10,100,changing_temporal_res
37,2m_temperature,2000-01-01 00:00:00,2010-12-31 23:00:00,-40,-15,19,79,0.25,day,mean,10,100,changing_temporal_res
38,2m_temperature,2004-01-01 00:00:00,2014-12-31 23:00:00,-52,-27,59,119,0.25,day,mean,10,100,changing_temporal_res
39,2m_temperature,2003-01-01 00:00:00,2013-12-31 23:00:00,-53,-28,91,151,0.25,month,mean,10,100,changing_temporal_res
40,2m_temperature,1997-01-01 00:00:00,2007-12-31 23:00:00,12,37,-79,-19,0.25,month,mean,10,100,changing_temporal_res
41,2m_temperature,1998-01-01 00:00:00,2008-12-31 23:00:00,-46,-21,-2,58,0.25,month,mean,10,100,changing_temporal_res
42,2m_temperature,1999-01-01 00:00:00,2009-12-31 23:00:00,61,86,-87,-27,0.25,year,mean,10,100,changing_temporal_res
43,2m_temperature,2009-01-01 00:00:00,2019-12-31 23:00:00,41,66,-155,-95,0.25,year,mean,10,100,changing_temporal_res
44,2m_temperature,2007-01-01 00:00:00,2017-12-31 23:00:00,-34,-9,-57,3,0.25,year,mean,10,100,changing_temporal_res
